# IncludedObjects
# Cgfs: 3, Materials: 3, Palettes: 1, Placements: 3

[CGFs]
      0: objects/buildingsets/human/colonialism/col_a/int/underfloor/col_a_underfloor_ibeam_2m_a.cgf
      1: objects/buildingsets/human/colonialism/ruin/structure/col_a_structural_addon_floor_2m_c.cgf
      2: objects/buildingsets/human/colonialism/ruin/structure/col_a_ruin_struct_addon_bar_2m_c.cgf

[Materials]
      0: materials/decals/manmade_marking/habs/paintstrip_05_arrow_a
      1: materials/decals/manmade_marking/habs/paintstrip_07_boot_r_a
      2: materials/decals/debris/debris

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/Brand/AEGS/Reclaimer/aegs_reclaimer_default

[Placements]
  #0 objects/buildingsets/human/colonialism/col_a/int/underfloor/col_a_underfloor_ibeam_2m_a.cgf
    [0.99712048380835250, -0.05823984921409821, 0.04852652249672419, -1.05557199999999796]
    [0.06454282068196761, 0.98797400158420345, -0.14049042367514075, 1.18489999999997053]
    [-0.03976088178752265, 0.14321820697636278, 0.98889007484263047, 0.23340899999999998]
  #1 objects/buildingsets/human/colonialism/ruin/structure/col_a_structural_addon_floor_2m_c.cgf
    [0.99857489351372319, -0.02907407731959235, 0.04470822001076390, -0.04619699999999938]
    [0.02994194894032020, 0.99937154865244271, -0.01886616818895122, 0.01813599999991311]
    [-0.04413169611709665, 0.02017797404332016, 0.99881989749193301, 0.11169499999999921]
  #2 objects/buildingsets/human/colonialism/ruin/structure/col_a_ruin_struct_addon_bar_2m_c.cgf
    [-0.04249334140035399, 0.29764519260143590, -0.95373038773900187, -0.11149600000000248]
    [-0.02140494361874122, 0.95410230098676974, 0.29871495590165770, 0.14844900000002781]
    [0.99886742942405071, 0.03310794182526148, -0.03417191628784710, 0.03824599999999911]
