# IncludedObjects
# Cgfs: 16, Materials: 2, Palettes: 5, Placements: 233

[CGFs]
      0: objects/buildingsets/human/lowtech/bravo/int/prop/fan/fan_08x01x08_a.cgf
      1: objects/buildingsets/human/lowtech/prop/utilitarian/machine/machine_extractor_2_ash_b.cgf
      2: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/ceiling/roomsm_ceiling_alcove_08x04x01_a.cgf
      3: objects/buildingsets/human/utilitarian/int/grating/util_grating_str_02m_a.cgf
      4: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
      5: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_straight_04x01x04_a.cgf
      6: objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_04x02x0025_g.cgf
      7: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_straight_08x01x08_b.cgf
      8: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_straight_02x01x04_a.cgf
      9: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/addon/roomsm_addon_rib_02x06x05_a.cgf
     10: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_trim_08x02x02_a.cgf
     11: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/addon/roomsm_addon_flap_06x02x02_a.cgf
     12: objects/buildingsets/human/lowtech/alpha/int/roomsm/ceiling/roomsm_ceiling_straight_04x02x0025_d.cgf
     13: objects/buildingsets/human/lowtech/bravo/int/roomlg/tunnel/roomlg_tunnel_vertical.cgf
     14: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_straight_01x01x04_a.cgf
     15: objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_straight_04x01x04_c.cgf

[Materials]
      0: objects/buildingsets/human/utilitarian/util_a_default
      1: objects/buildingsets/human/lowtech/alpha/int/lowtech_alpha_interior_accent_i

[Palettes]
      0: Libs/Foundry/Records/TintPalettes/Generic/gen_glossy_dark_a<321>
      1: Libs/Foundry/Records/TintPalettes/Generic/gen_bronze_silver_silver<222>
      2: Libs/Foundry/Records/TintPalettes/Generic/gen_bronze_silver_silver
      3: Libs/Foundry/Records/TintPalettes/Generic/gen_glossy_darkgrey_orange
      4: Libs/Foundry/Records/TintPalettes/default

[Placements]
  #0 objects/buildingsets/human/lowtech/bravo/int/prop/fan/fan_08x01x08_a.cgf
    [0.08116106872339414, 0.00000011235553372, 0.17404981316338730, 0.99999700000000757]
    [-0.17404981316264378, 0.00000062724938288, 0.08116106872264252, 5.12500000000000000]
    [-0.00000052099696651, -0.19204285078632863, 0.00000036691649616, 30.12500000000000000]
  #1 objects/buildingsets/human/lowtech/prop/utilitarian/machine/machine_extractor_2_ash_b.cgf
    [0.00000064012113574, -1.00000064012113676, 0.00000000000000000, -3.81936300000000983]
    [-1.00000064012113676, -0.00000064012113618, -0.00000000000000000, 5.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, -1.00000064012134193, 28.95550299999999311]
  #2 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/ceiling/roomsm_ceiling_alcove_08x04x01_a.cgf
    [0.62582200765609752, 0.00000000000000000, 0.00000000000000000, 0.75709299999999757]
    [0.00000000000000000, -0.00000040060163829, -0.62582200765596929, 0.87820800000008603]
    [0.00000000000000000, 0.62582200765596929, -0.00000040060163829, 21.87193099999998935]
  #3 objects/buildingsets/human/utilitarian/int/grating/util_grating_str_02m_a.cgf
    [-0.99999999999599998, -0.00000000000181054, -0.00000282842802287, 2.00000000000000000]
    [0.00000282842802287, -0.00000064012272660, -0.99999999999579525, 4.00000000000000000]
    [0.00000000000000000, -0.99999999999979516, 0.00000064012272671, 29.87500000000000000]
  #4 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
    [1.00000000000000000, 0.00000000000000000, 0.00000000000000000, -4.00000000000000000]
    [0.00000000000000000, 1.00000000000000000, 0.00000000000000000, 0.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, 1.00000000000000000, 12.00000000000000000]
  #5 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
    [-1.00000000000000000, 0.00000000000000000, 0.00000000000000000, 6.00000000000000000]
    [0.00000000000000000, 1.00000000000000000, 0.00000000000000000, 0.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, -1.00000000000000000, 31.00000000000000000]
  #6 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
    [0.00000064012113574, -1.00000064012113654, 0.00000000000000000, 6.00000000000000000]
    [1.00000064012113654, 0.00000064012113574, 0.00000000000000000, 0.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, 1.00000064012134127, 18.00000000000000000]
  #7 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_straight_04x01x04_a.cgf
    [-0.00000064012113707, -1.00000064012113654, 0.00000000000000000, 6.00000000000000000]
    [1.00000064012113654, -0.00000064012113707, 0.00000000000000000, 1.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, 1.00000064012134127, 24.00000000000000000]
  #8 objects/buildingsets/human/lowtech/alpha/int/roomsm/floor/roomsm_floor_straight_04x02x0025_g.cgf
    [-0.00000222586342665, 1.00000064011908329, 0.00000000000000000, 1.00000000000000000]
    [1.00000064011908329, 0.00000222586342643, 0.00000000000000000, 4.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, -1.00000064012156065, 31.00000000000000000]
  #9 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/ceiling/roomsm_ceiling_alcove_08x04x01_a.cgf
    [0.62582200765609752, 0.00000000000000000, 0.00000000000000000, 0.75709299999999757]
    [0.00000000000000000, -0.00000040060163829, -0.62582200765596929, 0.87820400000009613]
    [0.00000000000000000, 0.62582200765596929, -0.00000040060163829, 9.87193099999998935]
  #10 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/wall/roomsm_wall_cornerin_01x01x04_a.cgf
    [1.00000000000000000, 0.00000000000000000, 0.00000000000000000, -4.00000000000000000]
    [0.00000000000000000, -1.00000000000000000, 0.00000000000000000, 8.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, -1.00000000000000000, 31.00000000000000000]
  #11 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/ceiling/roomsm_ceiling_alcove_08x04x01_a.cgf
    [-0.62582280885988739, 0.00000000000000000, 0.00000000000000000, 1.88209599999999000]
    [0.00000000000000000, -0.00000040060215088, 0.62582280885975905, 7.14234900000019479]
    [0.00000000000000000, 0.62582280885975905, 0.00000040060215074, 9.86352500000000987]
  #12 objects/buildingsets/human/lowtech/prop/utilitarian/machine/machine_extractor_2_ash_b.cgf
    [0.00000064012113574, 1.00000064012113676, 0.00000000000000000, 5.78854100000000926]
    [1.00000064012113676, -0.00000064012113618, 0.00000000000000000, 5.00000000000000000]
    [0.00000000000000000, 0.00000000000000000, -1.00000064012134193, 29.00000000000000000]
  #13 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/ceiling/roomsm_ceiling_alcove_08x04x01_a.cgf
    [1.00000128024227308, 0.00000000000000000, 0.00000000000000000, -3.00000000000000000]
    [0.00000000000000000, -0.00000064012154682, -1.00000128024206836, 0.75000000000000000]
    [0.00000000000000000, 1.00000128024206836, -0.00000064012154682, 27.75000000000000000]
  #14 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/ceiling/roomsm_ceiling_alcove_08x04x01_a.cgf
    [0.62582200765609752, 0.00000000000000000, 0.00000000000000000, -3.11790700000000243]
    [0.00000000000000000, -0.00000040060163829, -0.62582200765596929, 0.89235599999983606]
    [0.00000000000000000, 0.62582200765596929, -0.00000040060163829, 21.86352700000000482]
  #15 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/ceiling/roomsm_ceiling_alcove_08x04x01_a.cgf
    [-1.00000000000000067, 0.00000000000000000, 0.00000000000000000, 5.00000000000000000]
    [0.00000000000000000, -0.00000064012072620, 0.99999999999979550, 7.00000000000000000]
    [0.00000000000000000, 0.99999999999979550, 0.00000064012072576, 26.00000000000000000]
  #16 objects/buildingsets/human/lowtech/alpha/int/hangar/roomsm/ceiling/roomsm_ceiling_alcove_08x04x01_a.cgf
    [0.00000000000000000, 0.00000000000000000, 0.62582200765609741, 5.12114700000000767]
